Locality / Area,Average Price Range (per sq. ft.),Primary Property Types,Flats,Plots,Houses/Villas,Commercial,Nearest Hospital Distance,Nearest School Distance,Lake Distance (Approx.),Luxury Apartments?,Dist. to MP Nagar/DB Mall,Dist. to AIIMS,Dist. to Airport,Dist. to Bhopal Jn. Rly Station
Arera Colony,"₹13,000 – ₹17,500","Villas, Luxury Flats",TRUE,TRUE,TRUE,FALSE,1.4 km,1.2 km,1.5 km (Shahpura),TRUE,2.5 km,3.0 km,17.5 km,7.5 km
"Shahpura (Sec A, B, C)","₹5,700 – ₹11,200","Premium Flats, Bungalows",TRUE,FALSE,TRUE,FALSE,0.8 km,1.1 km,0.5 km (Shahpura),TRUE,4.5 km,4.0 km,19.5 km,9.5 km
Chuna Bhatti,"₹6,500 – ₹10,800",High-end Flats & Villas,TRUE,FALSE,TRUE,FALSE,1.5 km,1.8 km,1.0 km (Shahpura),TRUE,5.5 km,5.0 km,18.5 km,10.5 km
Indrapuri,"₹10,000 – ₹13,600","Flats, Commercial Hubs",TRUE,FALSE,FALSE,TRUE,0.9 km,1.5 km,4.5 km (Lower Lake),FALSE,4.0 km,6.5 km,16.5 km,6.0 km
M.P. Nagar,"₹9,500 – ₹14,000",Highly Commercial Spaces,TRUE,FALSE,FALSE,TRUE,1.2 km,1.6 km,3.0 km (Lower Lake),FALSE,0.0 km,3.2 km,16.0 km,5.0 km
E-7 (Arera Ext.),"₹8,500 – ₹12,500",Luxury Low-rise Flats,TRUE,FALSE,TRUE,FALSE,1.8 km,1.5 km,1.8 km (Shahpura),TRUE,3.8 km,3.5 km,18.8 km,8.8 km
Gulmohar Colony,"₹6,000 – ₹9,000",Mid-to-Premium Flats,TRUE,FALSE,TRUE,FALSE,0.6 km,1.1 km,2.0 km (Shahpura),TRUE,5.0 km,3.5 km,20.0 km,10.0 km
VIP Road,"₹7,500 – ₹9,500","Lake-view Flats, Plots",TRUE,TRUE,TRUE,FALSE,2.2 km,1.4 km,0.1 km (Upper Lake),TRUE,11.0 km,13.5 km,8.5 km,6.0 km
Idgah Hills,"₹4,500 – ₹6,500","Houses, Older Blocks",TRUE,FALSE,TRUE,FALSE,0.8 km,1.0 km,1.5 km (Upper Lake),FALSE,8.5 km,11.5 km,9.0 km,3.5 km
Koh-e-Fiza,"₹4,800 – ₹7,200",Premium Residential,TRUE,FALSE,TRUE,FALSE,2.1 km,0.9 km,1.2 km (Upper Lake),TRUE,11.5 km,14.5 km,6.5 km,6.5 km
Awadhpuri,"₹3,500 – ₹5,000","Independent Houses, Plots",TRUE,TRUE,TRUE,FALSE,1.5 km,2.4 km,6.5 km (Lower Lake),FALSE,8.0 km,9.5 km,22.5 km,11.5 km
Ayodhya Bypass,"₹3,000 – ₹4,500","Affordable Flats, Plots",TRUE,TRUE,TRUE,FALSE,1.2 km,1.8 km,7.0 km (Lower Lake),FALSE,7.5 km,10.5 km,16.5 km,7.5 km
Kolar Road,"₹3,500 – ₹6,000","Apartments, Duplexes",TRUE,FALSE,TRUE,FALSE,1.4 km,1.9 km,2.0 km (Kaliasot Dam),TRUE,8.5 km,7.5 km,22.5 km,13.5 km
Hoshangabad Road,"₹4,000 – ₹7,000","Premium Flats, Commercial",TRUE,FALSE,TRUE,TRUE,2.1 km,1.8 km,4.0 km (Shahpura),TRUE,7.0 km,4.5 km,22.0 km,12.0 km
Bairagarh,"₹4,500 – ₹7,500","Independent Houses, Shops",TRUE,FALSE,TRUE,TRUE,0.7 km,1.3 km,2.5 km (Upper Lake),FALSE,14.5 km,17.5 km,4.5 km,9.5 km
Bawadiya Kalan,"₹6,000 – ₹9,500","Luxury Villas, Premium Flats",TRUE,FALSE,TRUE,FALSE,1.2 km,2.0 km,2.5 km (Shahpura),TRUE,6.0 km,4.5 km,21.0 km,11.0 km
Katara Hills,"₹3,500 – ₹5,500","Duplexes, Affordable Housing",TRUE,FALSE,TRUE,FALSE,1.1 km,1.5 km,4.5 km (Kaliasot Dam),FALSE,11.0 km,7.5 km,26.0 km,16.0 km
Saket Nagar,"₹5,500 – ₹8,500","Flats, Houses",TRUE,FALSE,TRUE,FALSE,1.3 km,1.1 km,3.5 km (Shahpura),FALSE,4.0 km,1.0 km,19.5 km,9.5 km
Habibganj,"₹7,000 – ₹10,000","Commercial, Residential Flats",TRUE,FALSE,FALSE,TRUE,0.5 km,1.4 km,2.8 km (Shahpura),FALSE,1.8 km,3.0 km,17.5 km,7.5 km
Govindpura,"₹4,000 – ₹6,500","Industrial, Quarters",TRUE,FALSE,FALSE,FALSE,2.2 km,1.7 km,5.5 km (Lower Lake),FALSE,5.5 km,7.5 km,18.5 km,6.5 km
Raisen Road,"₹3,000 – ₹5,000","Plots, Affordable Housing",FALSE,TRUE,TRUE,FALSE,1.8 km,2.3 km,8.0 km (Lower Lake),FALSE,10.5 km,12.5 km,21.5 km,11.0 km
Karond,"₹3,000 – ₹4,500","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,1.4 km,2.5 km,6.0 km (Upper Lake),FALSE,10.0 km,13.5 km,11.5 km,5.0 km
BHEL Township,"₹4,500 – ₹6,500",Government Quarters,TRUE,FALSE,TRUE,FALSE,1.5 km,1.8 km,5.0 km (Lower Lake),FALSE,6.5 km,7.0 km,19.5 km,7.5 km
Anand Nagar,"₹3,500 – ₹5,500","Residential Flats, Plots",TRUE,TRUE,FALSE,FALSE,1.1 km,1.5 km,7.5 km (Lower Lake),FALSE,8.5 km,10.5 km,21.0 km,9.5 km
Bagmugaliya,"₹4,000 – ₹6,000","Houses, Apartments",TRUE,FALSE,TRUE,FALSE,2.1 km,1.4 km,3.8 km (Shahpura),FALSE,7.2 km,2.8 km,22.5 km,12.5 km
Jahangirabad,"₹4,000 – ₹6,000","Older Blocks, Commercial",TRUE,FALSE,FALSE,TRUE,0.3 km,0.8 km,0.8 km (Lower Lake),FALSE,4.0 km,6.8 km,13.5 km,3.0 km
Shyamla Hills,"₹9,000 – ₹15,000","Luxury Villas, Lake-view",TRUE,FALSE,TRUE,FALSE,1.8 km,1.2 km,0.2 km (Upper Lake),TRUE,6.5 km,9.5 km,11.5 km,5.0 km
TT Nagar,"₹7,000 – ₹11,000","Commercial, Premium Flats",TRUE,FALSE,FALSE,TRUE,0.9 km,0.5 km,1.8 km (Lower Lake),TRUE,3.5 km,6.5 km,14.5 km,4.8 km
